sei,fornecedor,valor,score,status,n_docs,tem_cadeia
SEI-270006/019293/2024,PACLIMED DISTRIBUIDORA DE PRODUTOS FARMACÊUTICOS LTDA,42853.00,40,integra,18,0
SEI-270131/000556/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270006/027928/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270131/000140/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270003/003106/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270003/001823/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270006/002672/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270131/000141/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270003/001824/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000142/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270003/001834/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000189/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270003/001827/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000145/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000564/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270060/001441/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270003/002147/2024,M4 IMPORTAÇÃO E COMERCIO DE MATERIAS MEDICO HOSPITALARES LTDA,133544.36,40,integra,0,1
SEI-270003/002165/2024,M4 IMPORTAÇÃO E COMERCIO DE MATERIAS MEDICO HOSPITALARES LTDA,133544.36,40,integra,0,1
SEI-270003/003073/2024,M4 IMPORTAÇÃO E COMERCIO DE MATERIAS MEDICO HOSPITALARES LTDA,133544.36,40,integra,0,1
SEI-270057/001327/2023,M4 IMPORTAÇÃO E COMERCIO DE MATERIAS MEDICO HOSPITALARES LTDA,133544.36,40,integra,0,1
SEI-270061/000192/2022,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270128/000004/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,10,1
SEI-270003/000448/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270003/001822/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270006/002522/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270006/007113/2026,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000557/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270003/000447/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270003/003107/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000558/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270003/000446/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270006/002400/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000559/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270003/000450/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000565/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270003/000422/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270006/004042/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270040/000251/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270040/000351/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270040/000429/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270040/000433/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270042/000335/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270050/000527/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270057/000992/2021,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270060/001438/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270060/001641/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270060/001642/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270060/001643/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270060/001644/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270064/000316/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270078/000457/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,so_despacho,0,0
SEI-270080/000470/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270087/000248/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270097/000775/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270100/000701/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270104/001052/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270105/000886/2022,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270122/000553/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270126/000057/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270130/000006/2023,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270006/006200/2026,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270006/004889/2026,POLYSUTURE INDUSTRIA E COMERCIO LTDA,593.76,40,integra,0,1
SEI-270006/012880/2026,DROGAFONTE LTDA.,590.40,40,integra,0,1
SEI-270057/000012/2023,M4 IMPORTAÇÃO E COMERCIO DE MATERIAS MEDICO HOSPITALARES LTDA,133544.36,40,integra,0,1
SEI-270006/013933/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,896.00,40,integra,3,1
SEI-270004/000726/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/006830/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/034889/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/004057/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,so_despacho,0,0
SEI-270004/002796/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/012548/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/021996/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/023814/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/025467/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/026398/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/028183/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/029755/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/030973/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/031539/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/032763/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270006/032910/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,integra,8,0
SEI-270007/008584/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,so_despacho,0,0
SEI-270007/023853/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/025478/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,so_despacho,0,0
SEI-270007/029596/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/039385/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/040336/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/040945/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,so_despacho,0,0
SEI-270007/040973/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/041754/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/043123/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/045175/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/047134/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/047643/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/048169/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,so_despacho,0,0
SEI-270007/048341/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/048369/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270007/049300/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270044/000636/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270080/000479/2023,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,924.00,40,nao_coletado,0,0
SEI-270042/000539/2021,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,8,1
SEI-270006/009071/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270006/013081/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,8,1
SEI-270121/000264/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,8,1
SEI-270001/000867/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,5,1
SEI-270042/000011/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,3,1
SEI-270057/001519/2021,DROGAFONTE LTDA.,954.00,40,integra,8,1
SEI-270005/000288/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,8,1
SEI-270006/023309/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,8,1
SEI-270006/033071/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270006/036344/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,8,1
SEI-270006/036682/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270006/037476/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270006/037553/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,10,1
SEI-270006/037558/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,10,1
SEI-270007/010654/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270007/015674/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270007/046881/2025,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270007/053246/2024,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270042/000828/2021,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,10,1
SEI-270042/001172/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,10,1
SEI-270054/000807/2021,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,nao_coletado,0,0
SEI-270131/000067/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000068/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000069/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000070/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,8,1
SEI-270131/000071/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,8,1
SEI-270131/000072/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000074/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270131/000076/2023,EXCELENCIA DISTRIBUIDORA DE PRODUTOS E SERVIÇOS LTDA,942.82,40,integra,0,1
SEI-270006/017154/2025,DBV COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO DO BRASIL LTDA,1110.00,40,nao_coletado,0,0
SEI-270131/000167/2022,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,integra,6,1
SEI-270131/000162/2021,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,integra,8,1
SEI-270003/001501/2024,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,integra,8,1
SEI-270002/000856/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270006/005398/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270006/009445/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270006/014127/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,integra,7,1
SEI-270006/014507/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270006/015052/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270006/015624/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270006/016024/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270006/018103/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270006/018790/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/020406/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/021449/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/024511/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,so_despacho,0,0
SEI-270007/024566/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/024614/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/024644/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/025540/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/026416/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/026675/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/027368/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/027597/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270007/028803/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,so_despacho,0,0
SEI-270007/029926/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1104.00,40,nao_coletado,0,0
SEI-270042/001732/2022,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,8,1
SEI-270042/001753/2022,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,8,1
SEI-270042/001730/2022,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,so_despacho,0,0
SEI-270006/008391/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,nao_coletado,0,0
SEI-270006/011004/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,nao_coletado,0,0
SEI-270006/018674/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,4,1
SEI-270006/019015/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,4,1
SEI-270006/022791/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,3,1
SEI-270006/022954/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,3,1
SEI-270006/022959/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,3,1
SEI-270006/022990/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,3,1
SEI-270006/022999/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,3,1
SEI-270006/024091/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,3,1
SEI-270006/025950/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,3,1
SEI-270006/025955/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,3,1
SEI-270006/025959/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,4,1
SEI-270006/025965/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,3,1
SEI-270006/025988/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,integra,3,1
SEI-270007/012057/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,nao_coletado,0,0
SEI-270007/027681/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,nao_coletado,0,0
SEI-270007/030756/2024,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,nao_coletado,0,0
SEI-270037/001121/2021,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,nao_coletado,0,0
SEI-270044/003899/2022,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1260.00,40,nao_coletado,0,0
SEI-270006/004471/2024,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,8,1
SEI-270006/004474/2024,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270006/004476/2024,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270006/004479/2024,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270006/004481/2024,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,8,1
SEI-270006/004482/2024,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270006/004483/2024,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,8,1
SEI-270006/004484/2024,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270042/001720/2022,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,nao_coletado,0,0
SEI-270042/001721/2022,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,10,1
SEI-270042/001754/2022,LEMAN MEDICAMENTOS E CIA LTDA,1180.00,40,integra,9,1
SEI-270005/011490/2024,INJEX INDUSTRIAS CIRURGICAS LTDA,1372.40,40,nao_coletado,0,0
SEI-270007/006338/2024,INJEX INDUSTRIAS CIRURGICAS LTDA,1372.40,40,nao_coletado,0,0
SEI-270044/000780/2024,INJEX INDUSTRIAS CIRURGICAS LTDA,1372.40,40,nao_coletado,0,0
SEI-270057/000989/2021,BIONEFRO COMÉRCIO DE MATERIAL HOSPITALAR LTDA ME,1532.50,40,integra,10,1
SEI-270007/041164/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,nao_coletado,0,0
SEI-270007/041612/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,integra,2,1
SEI-270007/042271/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,integra,3,1
SEI-270003/000235/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,integra,8,1
SEI-270003/000726/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,integra,8,1
SEI-270003/000799/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,integra,8,1
SEI-270006/000349/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270006/000780/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,so_despacho,0,0
SEI-270006/001228/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270006/001321/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270006/002039/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270006/002596/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270006/003418/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270006/003434/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270006/019810/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270007/001247/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270007/001717/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270007/047228/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270007/056482/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,nao_coletado,0,0
SEI-270007/060972/2025,COMERCIAL CIRURGICA RIOCLARENSE LTDA,1731.68,40,so_despacho,0,0
SEI-270057/001062/2021,LEMAN MEDICAMENTOS E CIA LTDA,1728.00,40,integra,8,1
SEI-270006/033994/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,integra,4,1
SEI-270006/034052/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,integra,4,1
SEI-270006/034235/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,integra,4,1
SEI-270006/034253/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,integra,4,1
SEI-270006/034270/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,integra,3,1
SEI-270006/034279/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,integra,4,1
SEI-270006/034348/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,integra,4,1
SEI-270007/054483/2025,LEMAN MEDICAMENTOS E CIA LTDA,1677.00,40,nao_coletado,0,0
